nquest,Y,CN,CD1,CD2,CD,C,S
505407,18494.661126,13800,0,0,0,13800,4694.6611261
505424,40617.390882,25200,18500,600,19100,44300,-3682.609118
505517,35184.071151,10800,0,0,0,10800,24384.071151
505525,135930.50929,23600,4000,1000,5000,28600,107330.50929
505534,31386.294963,28200,5000,25000,30000,58200,-26813.70504
505540,18539.754859,12400,0,0,0,12400,6139.7548591
505576,23057.607106,11400,0,0,0,11400,11657.607106
505594,28831.077801,16800,0,0,0,16800,12031.077801
505606,44921.058801,26600,0,0,0,26600,18321.058801
505655,64758.285568,38600,22000,2000,24000,62600,2158.2855678
505672,39423.241672,30000,0,0,0,30000,9423.2416717
505681,14144.931102,13800,0,0,0,13800,344.93110199
505768,40331.766456,24000,8000,0,8000,32000,8331.7664565
505771,49544.650466,57500,0,0,0,57500,-7955.349534
505806,32207.330563,11640,0,1300,1300,12940,19267.330563
505810,121608.65154,164200,0,2000,2000,166200,-44591.34846
505818,158800.32809,56450,0,0,0,56450,102350.32809
505839,37874.96123,16300,0,2100,2100,18400,19474.96123
506025,45936.833749,31200,0,400,400,31600,14336.833749
506100,9237.330563,9300,0,0,0,9300,-62.66943695
506107,32050.366528,24240,0,700,700,24940,7110.3665282
506112,20350.995845,16800,0,0,0,16800,3550.9958446
506152,34708.326408,24500,0,0,0,24500,10208.326408
506195,21958.326408,17400,0,0,0,17400,4558.3264076
506385,56333.871225,44000,0,0,0,44000,12333.871225
506396,39720.168425,27100,0,0,0,27100,12620.168425
506402,16560.652815,16200,0,0,0,16200,360.65281524
506410,49534.820174,40600,0,0,0,40600,8934.8201745
506413,49546.348783,21600,0,0,0,21600,27946.348783
506418,20333.64866,15900,0,0,0,15900,4433.6486598
506446,40704.979223,18000,0,500,500,18500,22204.979223
506458,52688.999401,22800,0,1000,1000,23800,28888.999401
506492,31652.623325,30000,0,0,0,30000,1652.6233247
506565,71598.644504,19080,0,0,0,19080,52518.644504
506613,11400,6000,0,0,0,6000,5400
506628,101366.56971,66000,0,0,0,66000,35366.569707
506736,58566.297069,27000,0,0,0,27000,31566.297069
506738,36401.985647,11388,0,0,0,11388,25013.985647
506758,51803.394051,29100,0,0,0,29100,22703.394051
506767,56863.779674,24200,5000,0,5000,29200,27663.779674
506798,31467.671635,14400,0,0,0,14400,17067.671635
506799,47547.376513,25600,0,0,0,25600,21947.376513
507037,44057.773618,44600,0,0,0,44600,-542.2263817
507157,11662.932225,10800,0,0,0,10800,862.93222522
507182,27215.338728,23200,0,2000,2000,25200,2015.3387281
507282,55751.010331,67600,0,700,700,68300,-12548.98967
507303,38455.638478,21800,-10000,0,-10000,11800,26655.638478
507316,33361.251054,10800,3000,0,3000,13800,19561.251054
507319,17935.311481,13400,3000,4000,7000,20400,-2464.688519
507329,64105.386768,14400,0,0,0,14400,49705.386768
507336,43702.775367,34320,7000,0,7000,41320,2382.7753669
507360,34669.058912,28800,0,0,0,28800,5869.0589123
507419,95239.201745,22400,0,0,0,22400,72839.201745
507444,21392.932225,17632,0,0,0,17632,3760.9322252
507541,49243.983378,47100,10000,2000,12000,59100,-9856.016622
507542,21136.313941,13200,0,130,130,13330,7806.3139413
507544,54585.159315,39250,18000,2500,20500,59750,-5164.840685
507552,35778.017687,26900,16600,180,16780,43680,-7901.982313
507557,22840.318097,18000,0,0,0,18000,4840.3180968
507640,38507.448057,21600,0,0,0,21600,16907.448057
507644,18765.614643,12720,0,0,0,12720,6045.6146429
507728,26080.211504,21800,0,0,0,21800,4280.2115035
507823,36440.665282,24500,0,0,0,24500,11940.665282
507863,25447.264076,15600,0,0,0,15600,9847.2640762
507905,58943.983378,28700,0,0,0,28700,30243.983378
507908,24923.30563,18000,0,0,0,18000,6923.3056305
507913,12802.330563,15600,0,262,262,15862,-3059.669437
507924,17818.326408,16800,0,0,0,16800,1018.3264076
508305,13019.362049,17700,0,0,0,17700,-4680.637951
508861,37875.142959,27600,0,400,400,28000,9875.1429595
509054,18295.406965,14900,0,0,0,14900,3395.4069652
509057,34965.520579,31320,0,200,200,31520,3445.5205787
509064,18543.281808,16200,0,0,0,16200,2343.2818076
509068,12650.17377,6600,0,0,0,6600,6050.17377
509071,25504.981014,27860,0,100,100,27960,-2455.018986
509123,11880,9600,0,0,0,9600,2280
509366,22073.30563,20400,0,0,0,20400,1673.3056305
509550,27751.602837,15900,0,0,0,15900,11851.602837
509601,24807.076151,16800,0,0,0,16800,8007.0761506
509689,15600,14420,0,0,0,14420,1180
509717,21165.272429,13200,0,0,0,13200,7965.2724288
509806,15629.6,10269.6,0,0,0,10269.6,5360
509869,33072.99281,21600,0,700,700,22300,10772.99281
509889,23631.154893,23800,0,150,150,23950,-318.845107
510109,14551.103563,6600,0,0,0,6600,7951.103563
510181,18190,18310,0,0,0,18310,-120
510239,48817.821773,26000,0,0,0,26000,22817.821773
510244,52329.530532,63700,0,0,0,63700,-11370.46947
510245,36013.298753,18800,0,0,0,18800,17213.298753
510329,10.597946338,14100,0,0,0,14100,-14089.40205
510345,29454.400904,24600,0,0,0,24600,4854.4009042
510374,26098,20500,5000,700,5700,26200,-102
510432,11400,15360,0,0,0,15360,-3960
510433,47642.539299,28500,0,0,0,28500,19142.539299
510634,37991.583607,28560,0,0,0,28560,9431.5836067
510984,33014.661126,24000,0,0,0,24000,9014.6611261
511074,22945.159048,19200,0,0,0,19200,3745.1590484
511116,16400,10900,0,0,0,10900,5500
511130,14231.331307,10650,0,0,0,10650,3581.3313069
511136,14555.297785,11500,0,0,0,11500,3055.2977853
511160,40590.663106,22000,0,0,0,22000,18590.663106
511260,29366.272306,24600,0,300,300,24900,4466.2723057
511307,58789.662743,30000,0,3000,3000,33000,25789.662743
511315,17550,10380,0,500,500,10880,6670
511342,17024.729799,16200,0,400,400,16600,424.72979863
511352,39864.75354,27000,0,500,500,27500,12364.75354
511354,10692.987534,7700,0,0,0,7700,2992.9875337
511355,18887.828485,13300,0,1000,1000,14300,4587.8284853
511365,20200,16200,0,0,0,16200,4000
511367,20587.652002,17100,0,0,0,17100,3487.6520024
511416,7801.4661126,7560,0,0,0,7560,241.46611261
511419,18610.995845,12900,0,0,0,12900,5710.9958446
511424,19818.326408,17700,0,0,0,17700,2118.3264076
511431,23418.326408,15900,0,0,0,15900,7518.3264076
511435,13010.995845,17100,0,0,0,17100,-4089.004155
511438,9973.2777962,8400,0,0,0,8400,1573.2777962
511474,41803.665282,42200,0,0,0,42200,-396.3347185
511491,13221.991689,7600,0,0,0,7600,5621.9916891
511494,11000,9800,0,0,0,9800,1200
511495,14400,14400,0,0,0,14400,0
511500,19350,26550,0,0,0,26550,-7200
511501,18000,24300,0,0,0,24300,-6300
511519,7669.7291483,6000,0,0,0,6000,1669.7291483
511525,14792.828485,12000,0,0,0,12000,2792.8284853
511629,24320.34281,13200,8500,0,8500,21700,2620.3428097
511757,31610.995845,11200,0,0,0,11200,20410.995845
512211,19143.257344,13400,0,0,0,13400,5743.2573439
512368,16087.489611,12000,0,0,0,12000,4087.4896114
512372,8905.355325,7200,0,0,0,7200,1705.355325
512417,21115.394182,13800,0,0,0,13800,7315.3941824
512452,46577.238832,31000,0,0,0,31000,15577.238832
512457,47500.384604,27000,0,0,0,27000,20500.384604
512517,7003.2987534,8040,0,200,200,8240,-1236.701247
512574,16476.652815,13800,0,250,250,14050,2426.6528152
512704,30545.902301,23100,0,0,0,23100,7445.9023006
512768,20567.944038,13400,0,0,0,13400,7167.9440383
512784,18805.227604,21400,0,0,0,21400,-2594.772396
512807,7812.8284853,9400,0,0,0,9400,-1587.171515
512843,26200.246236,32400,0,500,500,32900,-6699.753764
512845,39713.348917,28800,0,3000,3000,31800,7913.3489166
512849,24602.762683,29800,0,0,0,29800,-5197.237317
512858,10300,14200,0,0,0,14200,-3900
512884,12002.199169,12240,0,0,0,12240,-237.8008311
512887,20203.665282,16800,0,0,0,16800,3403.6652815
512892,9600,9000,0,0,0,9000,600
512897,12805.497922,14800,0,0,0,14800,-1994.502078
512921,47124.180968,16000,0,0,0,16000,31124.180968
512941,24221.991689,31400,0,0,0,31400,-7178.008311
512963,36931.708363,37000,0,0,0,37000,-68.29163739
513045,57157.095429,44900,0,1050,1050,45950,11207.095429
513064,43446.117329,34360,0,0,0,34360,9086.1173291
513131,41390,34600,0,0,0,34600,6790
513330,15103.665282,10550,0,0,0,10550,4553.6652815
513335,12109.163204,4200,0,0,0,4200,7909.1632038
513369,34240.10088,18600,0,0,0,18600,15640.10088
513377,32646.611261,17200,0,0,0,17200,15446.611261
513384,30174.528152,15800,0,0,0,15800,14374.528152
513406,44091.632038,19200,0,500,500,19700,24391.632038
513411,29225.656971,16800,0,0,0,16800,12425.656971
513428,49593.941824,31200,17000,700,17700,48900,693.94182402
513437,69092.664682,50800,0,1000,1000,51800,17292.664682
610980,42049.72416,56138.195551,0,0,0,56138.195551,-14088.47139
611412,128016.57773,79400,0,0,0,79400,48616.577729
611441,48274.160196,43300,8000,0,8000,51300,-3025.839804
611453,51886.359311,35160,0,0,0,35160,16726.359311
611512,23932.863673,22200,0,0,0,22200,1732.8636734
611614,69003.423125,51600,0,1000,1000,52600,16403.423125
