nquest,TDEBITC,TDEBITD,TDEBITE,TDEBITF,TDEBITG,PFIMM,PFCONS,PFAZ,PFCARTE,PFCC,RATADEB_RES,RATADEB_AIMM,RATADEB_FAM,RATADEB,RATADEB_PROF,PFCOLL,PFNOCOLL
230037,8000,0,0,0,0,0,8000,0,0,3500,,,1000,1000,,0,11500
237003,0,0,0,0,0,18000,0,0,0,0,,7200,,7200,,0,18000
243067,13000,0,0,0,0,0,13000,0,0,0,,,4800,4800,,13000,0
244013,0,0,0,0,0,0,0,0,0,0,,,,,,,
244058,0,0,0,0,0,0,0,0,0,0,,,,,,,
250005,0,0,0,0,0,0,0,0,0,0,,,,,,,
250010,0,700,0,0,0,0,700,0,0,0,,,360,360,,0,700
250039,0,0,0,0,0,0,0,0,0,0,,,,,,,
256015,2300,0,0,0,0,0,2300,0,0,0,,,2800,2800,,0,2300
279054,0,0,0,0,0,0,0,0,0,0,,,,,,,
282083,0,0,0,0,0,0,0,0,0,0,,,,,,,
282089,0,0,0,0,0,0,0,0,0,0,,,,,,,
284086,0,0,0,0,0,0,0,0,0,0,,,,,,,
310002,0,0,0,0,0,0,0,0,0,0,,,,,,,
310005,0,0,0,0,0,0,0,0,0,0,,,,,,,
321009,0,0,0,0,0,0,0,0,0,0,,,,,,,
330057,0,0,0,0,0,0,0,0,0,0,,,,,,,
332080,0,0,0,0,0,0,0,0,0,0,,,,,,,
333081,0,0,0,0,0,0,0,0,0,0,,,,,,,
355063,0,0,0,0,0,0,0,0,0,0,,,,,,,
365034,0,0,0,0,0,0,0,0,0,0,,,,,,,
387029,0,0,0,0,0,0,0,0,0,0,,,,,,,
389084,0,0,0,0,0,0,0,0,0,0,,,,,,,
500001,0,0,0,0,0,0,0,0,0,0,,,,,,,
500004,0,0,0,0,0,0,0,0,0,0,,,,,,,
500026,0,0,0,0,0,0,0,0,0,0,,,,,,,
500090,0,0,0,0,0,0,0,0,0,0,,,,,,,
500176,0,0,0,0,0,0,0,0,0,0,,,,,,,
500669,0,0,0,0,0,0,0,0,0,0,,,,,,,
500674,0,0,0,0,0,0,0,0,0,0,,,,,,,
500726,0,0,0,0,0,0,0,0,0,0,,,,,,,
501068,0,0,0,0,0,50000,0,0,0,0,3600,,,3600,,50000,0
501082,0,0,0,0,0,0,0,0,0,0,,,,,,,
501627,0,0,0,0,0,0,0,0,0,0,,,,,,,
501694,0,0,0,0,0,0,0,0,0,0,,,,,,,
501816,0,0,0,0,0,0,0,0,0,0,,,,,,,
501874,0,0,0,0,0,0,0,0,0,0,,,,,,,
502060,0,0,0,0,0,0,0,0,1212.4055739,0,,,,,,0,1212.4055739
502355,0,0,0,0,0,0,0,0,0,0,,,,,,,
502364,0,0,0,0,0,0,0,0,0,0,,,,,,,
502772,0,0,0,0,0,0,0,0,0,0,,,,,,,
503560,0,0,0,0,0,80000,0,0,0,0,5000,,,5000,,0,80000
503561,0,0,0,0,0,0,0,0,0,0,,,,,,,
503593,0,0,0,0,0,0,0,0,0,0,,,,,,,
503674,0,0,0,0,0,0,0,0,0,0,,,,,,,
503788,0,0,0,0,0,0,0,0,0,0,,,,,,,
503931,0,0,0,0,0,0,0,0,0,0,,,,,,,
503950,0,0,0,0,0,0,0,0,0,0,,,,,,,
503981,0,0,0,0,0,0,0,0,0,0,,,,,,,
504091,0,0,0,0,0,0,0,0,0,0,,,,,,,
504157,0,0,0,0,0,0,0,0,0,0,,,,,,,
504363,0,0,0,0,0,0,0,0,0,0,,,,,,,
504380,0,0,0,0,0,0,0,0,0,0,,,,,,,
504395,0,0,0,0,0,15000,0,0,0,0,8000,,,8000,,15000,0
504453,0,0,0,0,0,0,0,0,0,1887.1389921,,,,,,0,1887.1389921
504551,0,0,0,0,0,0,0,0,0,0,,,,,,,
504584,0,0,0,0,0,0,0,0,0,0,,,,,,,
504730,0,0,0,0,0,0,0,0,0,0,,,,,,,
504792,0,0,0,0,0,0,0,0,0,0,,,,,,,
504821,0,0,0,0,0,75000,0,0,0,1500,6000,,,6000,,75000,1500
504885,0,0,0,0,0,0,0,0,0,0,,,,,,,
504889,0,0,0,0,0,0,0,0,0,0,,,,,,,
504921,0,0,0,0,0,0,0,0,0,0,,,,,,,
504937,0,0,0,0,0,0,0,0,0,0,,,,,,,
505022,0,0,0,0,0,0,0,0,0,0,,,,,,,
505167,0,0,0,0,0,0,0,0,0,0,,,,,,,
505228,0,0,0,0,0,0,0,0,0,0,,,,,,,
505243,0,0,0,0,0,0,0,0,0,0,,,,,,,
505390,0,0,0,0,0,0,0,0,0,0,,,,,,,
505407,0,0,0,0,0,0,0,0,0,0,,,,,,,
505424,0,0,0,0,0,70000,0,0,0,0,5000,,,5000,,70000,0
505517,0,0,0,0,0,0,0,0,0,0,,,,,,,
505525,0,0,0,0,0,0,0,0,0,0,,,,,,,
505534,0,0,0,0,0,0,0,0,0,0,,,,,,,
505540,0,0,0,0,0,0,0,0,0,0,,,,,,,
505576,0,0,0,0,0,0,0,0,0,0,,,,,,,
505594,0,0,0,0,0,0,0,0,0,0,,,,,,,
505606,0,0,0,0,0,0,0,0,0,0,,,,,,,
505655,0,0,0,0,0,0,0,0,0,0,,,,,,,
505672,0,0,0,0,0,0,0,0,0,0,,,,,,,
505681,0,0,0,0,0,0,0,0,0,0,,,,,,,
505768,6800,0,0,0,0,0,6800,0,0,0,,,1100,1100,,0,6800
505771,0,0,0,0,0,0,0,0,0,0,,,,,,,
505806,0,0,0,0,0,0,0,0,0,0,,,,,,,
505810,0,0,0,0,0,0,0,0,0,20000,,,,,,0,20000
505818,0,0,0,0,0,0,0,0,0,0,,,,,,,
505839,0,0,0,0,0,0,0,0,0,0,,,,,,,
506025,0,0,0,0,0,0,0,0,0,0,,,,,,,
506100,0,0,0,0,0,0,0,0,0,0,,,,,,,
506107,2000,0,0,0,0,0,2000,0,0,200,,,1800,1800,,0,2200
506112,0,0,0,0,0,0,0,0,0,0,,,,,,,
506152,5000,0,0,0,0,0,5000,0,0,0,,,6000,6000,,5000,0
506195,0,0,0,0,0,0,0,0,0,0,,,,,,,
506385,0,0,0,0,0,0,0,0,0,0,,,,,,,
506396,0,0,0,0,0,0,0,0,0,0,,,,,,,
506402,0,0,0,0,0,0,0,0,0,0,,,,,,,
506410,0,0,0,0,0,0,0,0,0,2007.6032348,,,,,,0,2007.6032348
506413,0,0,0,0,0,0,0,0,0,0,,,,,,,
506418,0,0,0,0,0,0,0,0,0,0,,,,,,,
506446,0,0,0,0,0,0,0,0,0,0,,,,,,,
506458,0,0,0,0,0,70000,0,0,0,0,9000,,,9000,,70000,0
506492,0,0,0,0,0,0,0,0,0,0,,,,,,,
506565,0,0,0,0,0,0,0,0,0,0,,,,,,,
506613,0,0,0,0,0,0,0,0,0,0,,,,,,,
506628,0,0,0,0,0,0,0,0,0,0,,,,,,,
506736,0,0,0,0,0,0,0,0,0,0,,,,,,,
506738,0,0,0,0,0,0,0,0,0,0,,,,,,,
506758,0,0,0,0,0,0,0,0,0,0,,,,,,,
506767,0,0,0,0,0,0,0,0,0,0,,,,,,,
506798,0,0,0,0,0,0,0,0,0,0,,,,,,,
506799,0,0,0,0,0,0,0,0,0,0,,,,,,,
507037,900,0,0,0,0,0,900,0,0,0,,,1800,1800,,0,900
507157,0,0,0,0,0,0,0,0,0,0,,,,,,,
507182,0,0,0,0,0,0,0,0,0,0,,,,,,,
507282,7000,0,0,0,0,0,7000,5000,0,0,,,2250,2250,,7000,0
507303,0,0,0,0,0,0,0,0,0,0,,,,,,,
507316,0,0,0,0,0,0,0,0,0,0,,,,,,,
507319,0,0,0,0,0,0,0,0,0,0,,,,,,,
507329,0,0,0,0,0,0,0,0,0,0,,,,,,,
507336,0,0,0,0,0,0,0,0,0,0,,,,,,,
507360,0,0,0,0,0,0,0,0,0,0,,,,,,,
507419,6000,0,0,0,0,0,6000,0,0,0,,,2910,2910,,0,6000
507444,0,0,0,100,0,0,100,0,0,0,,,2770,2770,,0,100
507541,0,0,0,0,0,0,0,0,0,0,,,,,,,
507542,0,0,0,0,0,0,0,0,0,0,,,,,,,
507544,5000,0,0,0,0,151000,5000,0,0,3000,12500,6500,1000,20000,,120000,39000
507552,0,0,0,0,0,0,0,0,0,0,,,,,,,
507557,0,0,0,0,0,0,0,0,0,0,,,,,,,
507640,0,0,0,0,0,0,0,0,0,0,,,,,,,
507644,0,0,0,0,0,12000,0,0,0,0,2400,,,2400,,12000,0
507728,0,0,0,0,0,0,0,0,0,0,,,,,,,
507823,0,0,0,0,0,0,0,0,0,0,,,,,,,
507863,0,0,0,0,0,0,0,0,0,0,,,,,,,
507905,0,0,0,0,0,0,0,0,0,6000,,,,,,0,6000
507908,0,0,0,0,0,0,0,0,0,0,,,,,,,
507913,0,0,0,0,0,0,0,0,0,0,,,,,,,
507924,0,0,0,0,0,0,0,0,0,0,,,,,,,
508305,0,0,0,0,0,0,0,0,0,0,,,,,,,
508861,0,0,0,0,0,0,0,0,0,0,,,,,,,
