nquest,quest,nquestp,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,vitgen,ngen,figli,nfigli,vitf,nfratsore,parnoit,ANCONV,contint,NCOMP,CAPI
872125,3,,2,1,1,1,1,1,2,1,2,,2,,2,,,1999,2,6,1
872133,3,,2,1,1,1,3,1,3,1,2,,2,,2,,,1981,2,2,1
872161,3,,3,1,2,1,,,,,2,,2,,1,2,2,,1,2,1
872166,3,,2,1,2,1,,,,,1,1,1,2,1,1,2,,1,1,1
872190,3,,3,1,3,1,3,1,3,1,1,4,2,,1,3,,2013,2,2,1
872192,3,,1,1,1,1,1,1,1,1,2,,1,1,1,6,,1968,1,2,1
872199,3,,3,1,4,1,2,1,2,1,1,2,2,,1,2,,2000,2,3,1
872217,3,,1,1,1,1,1,1,2,1,2,,2,,1,7,,1980,1,2,1
872228,3,,2,2,2,2,,,,,1,2,1,3,1,5,1,,1,1,1
872229,3,,2,1,2,1,2,1,2,1,2,,1,2,1,2,,1969,1,3,1
872233,3,,2,2,2,2,,,,,1,2,2,,1,2,2,,1,1,1
872261,3,,3,1,1,1,3,1,2,1,2,,2,,1,4,,2005,2,4,1
872306,3,,3,1,3,1,3,1,3,1,2,,1,2,1,4,,1967,1,2,1
872312,3,,3,1,3,1,,,,,1,2,2,,1,1,2,,1,2,1
872357,3,,1,1,1,1,2,1,1,1,2,,2,,1,6,,1977,5,3,1
872367,3,,2,1,1,1,2,1,1,1,2,,1,1,1,5,,1980,4,2,1
872377,3,,7,1,7,1,7,3,7,1,1,4,2,,1,6,,1996,1,4,1
872385,3,,1,1,1,1,,,,,2,,2,,1,8,2,,2,2,1
872407,3,,2,1,2,1,2,1,2,1,1,3,2,,2,,,1983,1,3,1
872413,3,,3,1,3,1,,,,,1,2,2,,2,,2,,1,1,1
872417,3,,2,1,2,1,,,,,2,,2,,2,,,,1,1,1
872422,3,,4,1,3,1,3,1,3,1,2,,2,,2,,,2000,1,2,1
872432,3,,3,1,3,1,,,,,,,2,,2,,2,,1,4,1
872433,3,,4,1,3,1,,,,,1,2,2,,2,,2,,1,1,1
872434,3,,2,1,2,1,,,,,1,1,2,,2,,2,,1,1,1
872443,3,,4,1,4,1,,,,,2,,2,,2,,2,,1,1,1
872450,3,,3,1,3,1,3,1,3,1,1,4,2,,2,,,2004,1,3,1
872555,3,,2,1,2,1,,,,,,,1,1,1,1,2,,3,3,1
872556,3,,4,1,3,1,3,1,4,1,1,2,2,,2,,,2006,4,4,1
872572,3,,2,1,2,1,,,,,1,2,2,,2,,,,4,3,1
872583,3,,2,1,2,1,2,1,2,1,2,,2,,1,3,,1969,2,2,1
872602,3,,2,1,2,1,4,1,3,1,2,,2,,1,2,,1992,2,5,1
872619,3,,4,1,4,1,2,1,2,1,1,1,1,2,1,2,,1986,2,2,1
872633,3,,2,1,2,1,,,,,1,2,1,1,1,5,,,2,1,1
872646,3,,2,1,1,1,2,1,2,1,1,2,1,2,1,14,,1979,2,2,1
872661,3,,2,1,2,1,2,1,2,1,2,,1,2,1,3,,1973,2,2,1
872698,3,,1,1,1,1,,,,,2,,2,,1,2,2,,1,1,1
872702,3,,1,1,1,1,,,,,2,,1,8,1,2,,,1,1,1
872710,3,,1,1,1,1,,,,,2,,1,2,1,6,,,1,1,1
872732,3,,2,1,2,1,2,1,1,1,2,,1,3,1,10,,1970,3,2,1
872747,3,,2,1,3,1,2,1,2,1,1,1,1,1,1,6,,1978,2,3,1
872748,3,,4,1,4,1,2,1,2,1,1,1,2,,1,5,,1986,6,4,1
872750,3,,1,1,1,1,1,1,2,1,1,1,2,,1,2,,1997,2,4,1
872781,3,,2,1,2,1,,,,,,,2,,2,,2,,1,4,1
872794,3,,1,1,1,1,,,,,2,,1,5,1,1,,,1,1,1
872795,3,,1,1,1,1,,,,,2,,2,,1,1,,,1,3,1
872847,3,,2,1,2,1,,,,,2,,1,2,1,2,,,3,1,1
872919,3,,1,1,1,1,,,,,2,,2,,1,1,2,,2,1,1
872924,3,,4,1,4,1,,,,,2,,1,2,1,4,,,2,1,1
872930,3,,2,1,1,1,1,1,1,1,2,,1,2,1,7,,1966,3,3,1
872935,3,,1,1,1,1,,,,,2,,1,1,1,4,,,1,1,1
872951,3,,2,1,2,1,4,1,3,1,2,,1,3,1,6,,1971,2,2,1
872963,3,,5,1,4,1,4,1,4,1,1,3,2,,1,2,,1997,4,5,1
873011,3,,3,1,3,1,3,1,3,1,1,4,2,,1,4,,2003,1,4,1
873023,3,,4,1,3,1,,,,,2,,2,,1,2,2,,1,1,1
873037,3,,2,1,2,1,,,,,2,,1,1,2,,2,,1,1,1
873042,3,,2,2,2,2,2,1,1,1,1,1,1,1,1,1,,2009,2,2,1
873043,3,,2,1,1,1,2,1,2,1,1,3,2,,1,3,,1995,1,6,1
873048,3,,2,1,1,1,2,1,1,1,2,,2,,1,2,,1980,1,5,1
873052,3,,2,1,2,1,1,1,1,1,2,,2,,1,4,,1982,2,4,1
873072,3,,2,1,1,1,,,,,2,,1,2,1,7,,,2,1,1
873073,3,,4,1,4,1,,,,,1,2,2,,1,1,2,,2,1,1
873133,3,,1,1,1,1,,,,,2,,1,1,1,4,,,1,1,1
