nquest,nord,intper,entepen,tipopen,decor,tpens,mesipen,arret,tarret,quotape
509054,1,1,1,1,1994,510,13,2,0,80
509054,2,1,1,1,1997,620,13,2,0,80
509057,2,1,1,1,2016,920,13,2,0,70
509064,1,1,1,1,2010,1100,13,2,0,70
509068,1,1,1,1,1995,520,13,2,0,70
509068,1,1,1,5,1992,340,12,2,0,
509071,1,1,1,1,1996,1500,13,2,0,90
509123,1,1,1,1,2000,690,12,2,0,90
509366,2,1,1,1,2014,800,13,2,0,75
509550,1,1,1,5,2010,350,12,2,0,
509717,1,1,1,1,2011,350,13,2,0,50
509717,1,1,1,5,2009,350,13,2,0,
509869,1,1,1,1,2007,880,13,2,0,60
510109,1,1,1,2,2007,240,13,2,0,
510109,1,1,1,5,2008,600,13,2,0,
510181,1,1,1,1,1992,620,12,2,0,80
510181,1,1,1,5,2012,320,12,2,0,
510244,1,1,1,1,2000,1600,13,2,0,100
510244,2,2,1,1,2008,1800,13,2,0,100
510245,1,1,1,1,2000,1620,13,2,0,90
510245,2,1,1,1,1998,1150,13,2,0,90
510374,2,1,1,3,2010,319,2,2,0,
510374,2,1,1,3,2010,390,2,2,0,
510432,2,1,1,5,2016,600,13,2,0,
510433,2,1,1,1,2007,1280,13,2,0,80
510634,1,1,1,1,2005,1500,13,2,0,100
510634,2,1,1,1,1989,600,13,2,0,90
511074,1,1,1,1,1986,1425,13,2,0,80
511116,1,1,1,4,2000,500,13,2,0,
511130,1,1,1,1,1996,600,13,2,0,100
511130,1,1,1,5,2015,300,13,2,0,
511160,1,1,1,1,2001,1760,13,2,0,80
511160,2,2,1,1,2005,1050,13,2,0,70
511260,1,1,1,1,2010,1700,13,2,0,90
511307,1,1,1,1,1997,2500,13,2,0,90
511315,1,1,1,1,2015,1350,13,2,0,70
511354,1,1,1,5,2009,820,13,2,0,
511355,1,1,1,1,2015,1075,13,2,0,70
511367,1,1,1,1,2012,1300,13,2,0,100
511416,1,1,1,2,1996,600,13,2,0,
511419,1,1,1,1,1987,1200,13,2,0,90
511424,2,1,1,1,2001,1200,13,2,0,100
511431,1,1,1,1,1993,1300,13,2,0,80
511431,2,2,1,2,2003,500,13,2,0,
511435,1,1,1,1,1992,600,13,2,0,50
511435,2,1,1,2,1996,400,13,2,0,
511438,1,1,1,2,1989,490,13,2,0,
511491,1,1,3,5,2009,500,12,2,0,
511491,2,1,3,3,2005,300,12,2,0,
511494,1,1,1,1,2001,600,12,2,0,60
511495,1,1,1,1,2002,1000,12,2,0,70
511500,1,1,1,1,1991,1400,12,2,0,80
511501,1,1,1,1,1994,1200,12,2,0,100
511519,1,1,1,2,2016,403,13,2,0,
511525,1,1,1,2,2015,460,13,2,0,
511525,3,1,1,3,2000,800,13,2,0,
511629,1,1,1,1,2007,1500,13,2,0,75
511757,1,1,1,1,2016,1400,12,2,0,100
511757,3,3,1,5,2012,600,12,2,0,
512211,1,1,1,5,1996,480,13,2,0,
512368,1,1,1,1,2005,700,13,2,0,50
512368,3,4,1,3,2000,280,12,2,0,
512372,1,1,1,5,2016,500,13,2,0,
512417,2,1,1,1,1990,1300,13,2,0,80
512457,1,1,1,1,2006,730,13,2,0,80
512457,4,1,1,4,1978,750,13,2,0,
512457,5,1,1,4,1980,960,13,2,0,
512574,1,1,1,1,1990,620,12,2,0,100
512574,1,1,1,5,2015,400,12,2,0,
512704,1,1,1,1,1995,1560,13,2,0,80
512768,1,1,1,5,2009,780,13,2,0,
512807,1,1,1,5,1966,600,13,2,0,
512845,1,1,1,1,2002,1460,13,2,0,60
512845,2,1,1,1,2008,560,13,2,0,50
512845,3,1,1,5,1998,480,13,2,0,
