nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
913302,56007.752878,56000,56000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7528781338,0,0,0,7.7528781338,7.7528781338,0,0,0,9,5
913307,37506.814074,0,0,0,22480,32480,26480,6000,-10000,0,0,-10000,0,10000,0,0,0,15026.814074,15000,9000,6000,26.814074307,26.814074307,0,0,0,8,4
913313,42547.558671,18200,18200,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,6147.5586712,6000,0,6000,147.55867118,130.9195722,0,16.639098983,0,8,4
913316,18405.341429,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5405.3414291,5400,0,5400,5.3414290801,5.3414290801,0,0,0,4,2
913320,22905.977799,16900,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6005.9777987,6000,0,6000,5.9777987292,5.9777987292,0,0,0,5,3
913321,18809.642187,14000,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4809.6421869,4800,0,4800,9.6421869081,9.6421869081,0,0,0,4,2
913322,5.3184099595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3184099595,0,0,0,5.3184099595,5.3184099595,0,0,0,1,1
913323,20817.230642,16000,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4817.2306421,4800,0,4800,17.230642145,17.230642145,0,0,0,4,2
913324,16027.533745,16000,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.533744872,0,0,0,27.533744872,27.533744872,0,0,0,3,2
913325,18026.283768,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.283767883,0,0,0,26.283767883,26.283767883,0,0,0,4,2
913326,36994.284853,0,0,0,29666,29666,29666,0,0,0,0,0,0,0,0,0,0,7328.2848533,7200,0,7200,128.28485335,128.28485335,0,0,0,8,4
913329,14951.832641,0,0,0,14950,14950,14950,0,0,0,0,0,0,0,0,0,0,1.8326407621,0,0,0,1.8326407621,1.8326407621,0,0,0,3,2
913330,5824,0,0,0,5824,5824,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
913331,7803.2987534,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,3.2987533718,0,0,0,3.2987533718,3.2987533718,0,0,0,1,1
913345,67422.284281,0,0,0,52000,52000,52000,0,0,0,0,0,0,0,0,0,0,15422.284281,14400,0,14400,1022.2842805,54.979222863,0,967.30505767,0,10,5
913346,92970.744977,9800,9800,0,0,0,0,0,0,0,0,0,0,0,40000,25000,15000,43170.744977,44171.646039,0,44171.646039,-1000.901061,36.652815242,0,0,1037.5538765,10,5
913349,17800.733056,16000,16000,0,0,0,0,0,0,0,0,0,0,0,1800,1800,0,0.7330563048,0,0,0,0.7330563048,0.7330563048,0,0,0,3,2
913363,18500,18500,18500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
913377,21709.958446,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,6109.9584457,6000,0,6000,109.95844573,109.95844573,0,0,0,5,3
913384,40656.569707,0,0,0,26000,26000,26000,0,0,0,0,0,0,0,0,0,0,14656.569707,14400,0,14400,256.5697067,256.5697067,0,0,0,8,4
913395,13969.640349,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,4869.640349,4800,0,4800,69.64034896,69.64034896,0,0,0,2,1
913396,20043.983378,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,0,43.983378291,0,0,0,43.983378291,43.983378291,0,0,0,4,2
913403,22827.489611,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4827.4896114,4800,0,4800,27.489611432,27.489611432,0,0,0,5,3
913404,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,9000,0,0,0,0,0,0,0,0,0,0,1,1
913408,14273.265282,14269.6,13000,1269.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6652815242,0,0,0,3.6652815242,3.6652815242,0,0,0,2,1
913412,26634.53182,22400,20000,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,4234.53182,4200,0,4200,34.531819973,34.531819973,0,0,0,6,3
913414,23840.318097,19000,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4840.3180968,4800,0,4800,40.318096766,40.318096766,0,0,0,5,3
913415,14342.32,11042.32,11000,42.32,0,0,0,0,0,0,0,0,0,0,1500,1500,0,1800,1800,0,1800,0,0,0,0,0,2,1
913418,25162.898806,0,0,0,16440,16440,16440,0,0,0,0,0,0,0,1500,1500,0,7222.8988059,7200,0,7200,22.898805876,1.8326407621,0,21.066165114,0,6,3
913420,57538.469367,13500,13500,0,37895,37895,37895,0,0,0,0,0,0,0,0,0,0,6143.4693671,6000,0,6000,143.46936711,109.95844573,0,33.510921386,0,10,5
913424,65381.756413,0,0,0,48700,48700,48700,0,0,0,0,0,0,0,0,0,0,16681.756413,15800,4800,11000,881.75641293,43.983378291,0,837.77303464,0,10,5
913430,52001.2019,30000,30000,0,0,0,0,0,0,0,0,0,0,0,16000,16000,0,6001.2018999,6000,0,6000,1.2018999363,1.2018999363,0,0,0,9,5
913434,21714.424391,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,6114.424391,6000,0,6000,114.42439102,15.364523239,99.059867778,0,0,5,3
913445,3450,0,0,0,2250,3250,3250,0,-1000,0,0,-1000,0,1000,0,0,0,1200,1200,0,1200,0,0,0,0,0,1,1
913447,37278.284853,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,0,17278.284853,17150,0,17150,128.28485335,128.28485335,0,0,0,8,4
913451,17005.047817,17000,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0478171799,0,0,0,5.0478171799,5.0478171799,0,0,0,3,2
913460,13000.733056,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7330563048,0,0,0,0.7330563048,0.7330563048,0,0,0,2,1
913468,28116.193257,0,0,0,25090,25090,25090,0,0,0,0,0,0,0,0,0,0,3026.1932574,3000,0,3000,26.193257378,26.193257378,0,0,0,6,3
913470,22439.990457,0,0,0,16250,16250,16250,0,0,0,0,0,0,0,0,0,0,6189.9904573,6000,0,6000,189.99045728,36.652815242,0,153.33764204,0,5,3
913471,25778.702662,0,0,0,22100,22100,22100,0,0,0,0,0,0,0,0,0,0,3678.7026619,3600,0,3600,78.702661858,78.702661858,0,0,0,6,3
913472,31012.039886,7200,7200,0,21600,15600,15600,0,6000,6000,0,0,0,0,0,0,0,2212.0398862,4800,0,4800,-2587.960114,2.4660645265,0,0,2590.4261783,7,4
913474,28754.032948,14300,14300,0,9600,0,0,0,9600,9600,0,0,0,0,0,0,0,4854.0329481,4800,0,4800,54.032948121,54.032948121,0,0,0,6,3
913481,44025.984649,39200,37700,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,4825.9846493,4800,0,4800,25.984649346,25.984649346,0,0,0,9,5
913482,28205.919382,0,0,0,21000,21000,21000,0,0,0,0,0,0,0,0,0,0,7205.9193815,7200,0,7200,5.9193815343,5.9193815343,0,0,0,6,3
913485,16516.225686,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,4816.2256857,4800,0,4800,16.225685708,16.225685708,0,0,0,3,2
913486,18201.490274,18200,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4902741145,0,0,0,1.4902741145,1.4902741145,0,0,0,4,2
913487,17423.646668,16900,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.64666829,3600,0,3600,-3076.353332,1.7231685235,0,0,3078.0765002,3,2
913494,19153.233928,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,4853.2339279,4800,0,4800,53.233927942,53.233927942,0,0,0,4,2
913499,46803.240816,16900,16900,0,29900,29900,29900,0,0,0,0,0,0,0,0,0,0,3.2408157247,0,0,0,3.2408157247,3.2408157247,0,0,0,9,5
913500,15305.722275,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,3605.722275,3600,0,3600,5.7222749609,5.7222749609,0,0,0,3,2
913502,23712.881922,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3712.8819221,3600,0,3600,112.88192208,112.88192208,0,0,0,5,3
913505,15618.156779,15600,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.156779216,0,0,0,18.156779216,18.156779216,0,0,0,3,2
913508,15369.640349,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,3669.640349,3600,0,3600,69.64034896,69.64034896,0,0,0,3,2
913514,23718.700837,0,0,0,14690,14690,14690,0,0,0,0,0,0,0,0,0,0,9028.7008372,4800,0,4800,4228.7008372,15.760710554,0,4212.9401267,0,5,3
913519,24840.876486,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,7940.8764857,7200,0,7200,740.87648569,740.87648569,0,0,0,5,3
913522,25820.636194,0,0,0,25740,25740,25740,0,0,0,0,0,0,0,0,0,0,80.636193533,0,0,0,80.636193533,80.636193533,0,0,0,6,3
913523,26956.569707,0,0,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,0,7456.5697067,7200,0,7200,256.5697067,256.5697067,0,0,0,6,3
