nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,occnow,problav1,cerc2,problav2,finelav,etalav2,etapen,coppu,coppmax,coppmin,prevcom,coppip
22099,1,1,2,,,21,1,37,,1,100,2,,,,70,60,65,60,,
22099,2,0,,,,,,,,2,,2,,,,,,,,,
22169,1,1,1,2,,20,2,,,2,,,,2010,,,,,,,
22169,2,1,1,2,,16,1,20,,2,,,,2008,,,,,,,
22173,1,0,,,,,,,,2,,,,,,,,,,,
22173,2,0,,,,,,,,2,,2,,,,,,,,,
22173,3,1,2,,,25,1,15,,1,80,2,,,,65,60,65,55,2,
22173,4,,,,,,,,,,,,,,,,,,,,
22208,1,1,2,,,14,1,36,,2,,,,1985,,,,,,,
22276,1,2,2,,1,18,1,37,,2,,,,2008,,,,,,,
22276,2,1,2,,,18,2,,,2,,,,1960,,,,,,,
22286,1,2,2,,1,15,1,19,,2,,,,1990,,,,,,,
22286,2,2,2,,1,15,1,35,,2,,,,2007,,,,,,,
22624,1,8,1,5,3,14,2,,,1,80,2,,,59,80,50,50,0,2,
22624,2,0,,,,,,,,2,,1,10,,,,,,,,
22624,3,0,,,,,,,,2,,2,,,,,,,,,
22624,4,0,,,,,,,,2,,1,50,,,,,,,,
22657,1,1,2,,,29,1,37,,1,100,2,,,,67,78,78,60,2,
22657,2,2,2,,1,23,1,35,,2,,,,2006,,,,,,,
22996,1,1,2,,,23,1,33,,2,,,,1990,,,,,,,
22996,2,0,,,,,,,,2,,,,,,,,,,,
23370,1,7,2,,1,16,1,39,,2,,,,2000,,,,,,,
23370,2,0,,,,,,,,2,,2,,,,,,,,,
23490,1,1,2,,,26,1,35,,2,,,,1997,,,,,,,
23797,1,1,2,,,32,1,29,,1,90,2,,,,67,70,75,65,3,
23797,2,0,,,,,,,,2,,2,,,,,,,,,
23821,1,0,,,,,,,,2,,,,,,,,,,,
23821,2,0,,,,,,,,2,,2,,,,,,,,,
23823,1,0,,,,,,,,2,,,,,,,,,,,
23823,2,1,2,,,20,1,20,,1,,2,,,,,,,,1,
24147,1,2,2,,1,23,1,35,,2,,,,2006,,,,,,,
24147,2,1,2,,,16,1,42,,1,,2,,,,,,,,2,
24149,1,1,2,,,14,1,40,,2,,,,1983,,,,,,,
24194,1,4,2,,1,13,1,41,,2,,,,2010,,,,,,,
24194,2,4,2,,3,17,1,20,,1,100,2,,,46,67,30,40,20,2,
24194,3,6,2,,1,20,1,5,,1,,2,,,32,,,,,2,
24194,4,3,2,,1,19,1,5,,1,,2,,,26,,,,,2,
24382,1,0,,,,,,,,2,,2,,,,,,,,,
24616,1,2,2,,1,16,1,36,,2,,,,1995,,,,,,,
24616,2,1,2,,,19,1,36,,2,,,,1998,,,,,,,
