nquest,anmutuo31,anmutuo32,anmutuo33,anmutuo34,debgar31_1,debgar32_1,debgar33_1,debgar34_1,debgar31_2,debgar32_2,debgar33_2,debgar34_2,debgar31_3,debgar32_3,debgar33_3,debgar34_3,debgar31_4,debgar32_4,debgar33_4,debgar34_4,debgar31_5,debgar32_5,debgar33_5,debgar34_5,debm31,debm32,debm33,debm34,debpers31,debpers32,debpers33,debpers34,debrf31,debrf32,debrf33,debrf34,mutuodu31,mutuodu32,mutuodu33,mutuodu34,mutuoin31,mutuoin32,mutuoin33,mutuoin34,taeg11,taeg12,taeg13,taeg14,tdebita31,tdebita32,tdebita33,tdebita34,tipotax31,tipotax32,tipotax33,tipotax34,tmutuoab31,tmutuoab32,tmutuoab33,tmutuoab34
871191,2014,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,4,,,,20000,,,,,,,,10000,,,,3,,,,5000,,,
871470,2015,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,4,,,,15000,,,,3.5,,,,9000,,,,1,,,,4500,,,
872199,2016,2016,,,0,0,,,0,0,,,0,0,,,1,1,,,0,0,,,1,2,,,1,1,,,2,2,,,5,2,,,10000,1600,,,,,,,7600,840,,,3,3,,,2400,840,,
872434,2013,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,20000,,,,,,,,8500,,,,3,,,,6000,,,
872747,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,2,,,,1800,,,,,,,,1000,,,,3,,,,80,,,
872930,2013,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,7,,,,18000,,,,4,,,,5000,,,,1,,,,3500,,,
872963,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,4,,,,10000,,,,,,,,8000,,,,3,,,,1980,,,
873194,2014,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,5,,,,10000,,,,,,,,6000,,,,3,,,,2400,,,
873280,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,4,,,,9900,,,,6.35,,,,9630,,,,1,,,,2222,,,
873299,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,4,,,,18650,,,,7.98,,,,14767,,,,1,,,,2332,,,
