nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
32052,2,0,0,10400,0,0,0,0,0,0,10400,0,0,10400,0,0,0,0,0,0,0,0,0,0,10400,0,0
32057,1,0,0,14300,0,0,0,0,0,0,14300,0,0,14300,0,0,4800,4800,38.918908489,0,0,0,38.918908489,4838.9189085,19138.918908,0,0
32057,2,0,0,2249,0,0,0,0,0,0,2249,0,0,2249,0,0,0,0,0,0,0,0,0,0,2249,0,0
32057,3,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,28000,28000,0
32190,1,0,0,18200,0,0,0,0,0,0,18200,0,0,18200,0,0,6000,6000,36.652815242,0,0,0,36.652815242,6036.6528152,24236.652815,0,0
32318,1,0,0,11700,0,0,0,0,0,0,11700,0,0,11700,0,0,7200,7200,36.652815242,0,0,0,36.652815242,7236.6528152,18936.652815,0,0
32320,1,30000,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,10800,10800,24.660564412,0,0,0,24.660564412,10824.660564,40824.660564,0,0
32320,2,35000,0,0,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0
32320,3,4000,0,0,0,0,0,0,0,4000,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,6000,2000,0
32471,1,0,0,7800,0,0,0,0,0,0,7800,0,0,7800,0,0,3600,3600,18.164349779,0,0,0,18.164349779,3618.1643498,11418.16435,0,0
32524,1,0,0,28275,0,0,0,0,0,0,28275,0,0,28275,0,0,12170,12170,2151.5202547,396.24400287,10367.69398,0,12915.458237,25085.458237,53360.458237,0,0
32524,2,0,0,24232,0,0,0,0,0,0,24232,0,0,24232,0,0,0,0,0,0,0,0,0,0,24232,0,0
32556,1,0,0,16900,0,0,0,0,0,0,16900,0,0,16900,0,0,4800,4800,21.991689145,0,0,0,21.991689145,4821.9916891,21721.991689,0,0
32668,1,0,0,19500,0,0,0,0,0,0,19500,0,0,19500,0,0,4700,4700,25.290442517,0,0,0,25.290442517,4725.2904425,24225.290443,0,0
32668,3,6000,0,0,0,1500,0,0,0,6000,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,7500,0,0
32703,1,0,0,15000,0,0,0,0,1200,0,15000,-1200,-1200,13800,0,0,0,0,0,0,0,0,0,0,13800,0,0
32709,1,0,0,16900,0,0,0,0,0,0,16900,0,0,16900,0,0,7200,7200,72.587805938,0,556.39048345,0,628.97828939,7828.9782894,24728.978289,0,0
32709,2,6000,0,7800,0,0,0,0,0,6000,7800,0,0,7800,0,0,0,0,0,0,0,0,0,0,13800,0,0
32709,3,28000,0,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0
32709,4,23000,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0
32729,1,0,0,16978,0,0,0,0,0,0,16978,0,0,16978,30000,6535.156659,9600,16135.156659,43.983378291,0,304.14,0,348.12337829,16483.280037,63461.280037,30000,0
32734,1,24000,0,0,0,0,0,0,200,24000,0,-200,-200,-200,0,0,0,0,7.3305630485,0,0,0,7.3305630485,7.3305630485,23807.330563,0,0
32751,1,0,0,18200,0,0,0,0,0,0,18200,0,0,18200,0,0,14600,14600,18.326407621,0,421.29401267,0,439.62042029,15039.62042,33239.62042,0,0
32765,1,20000,400,0,0,0,0,0,0,20400,0,0,0,0,0,0,10000,10000,73.305630485,0,0,0,73.305630485,10073.30563,30473.30563,0,0
32765,2,27000,1000,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0
32772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,7200,183.26407621,0,0,0,183.26407621,7383.2640762,7383.2640762,0,0
32772,2,0,0,19500,0,0,0,0,0,0,19500,0,0,19500,0,0,0,0,0,0,0,0,0,0,19500,0,0
